L0_ID,L0_Title_ko,L0_Title_en,L1_ID,L1_Title_ko,L1_Title_en,L1_Description_ko,L1_Description_en,L2_ID,L2_Title_ko,L2_Title_en,L2_Description_ko,L2_Description_en,L3_ID,L3_Title_ko,L3_Title_en,L3_Description_ko,L3_Description_en,L4_ID,L4_Title_ko,L4_Title_en,L4_Description_ko,L4_Description_en,facet,act-type,Mapping_Method,EM_Score,EM_Margin,EM_Stability,KO_Top_L3_ID,EN_Top_L3_ID,HD_Reason,source_row_id,Source_Domain,Source_L4_ID,Source_L4_IDs,Source_Instruction_Prompt,Domain_Route_Basis,Transformation_Action,Transformation_Rationale
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_001,다중에이전트 상전이에 의한 급격한 성능 붕괴,Abrupt performance collapse from phase transitions in multi-agent systems,신규 에이전트 투입이나 분포 변화 같은 작은 외부 변화가 다중 에이전트 시스템의 상전이를 유발하여 균형의 수와 안정성이 급변하고 예측 불가능한 동역학과 성능 악화가 초래되는 리스크.,"The risk that small external changes such as the introduction of new agents or distributional shift trigger phase transitions in multi-agent systems, abruptly changing the number and stability of equilibria and producing unpredictable dynamics and severe performance degradation.",,,EM,0.7529529929161072,0.037992000579833984,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0048,Agentic,RAI4-1574,RAI4-1574,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_002,혼돈적 다중 에이전트 동역학,Chaotic multi-agent dynamics,다중 에이전트 학습 환경에서 초기 조건에 극도로 민감한 혼돈적 동역학이 나타나고 에이전트 수가 늘수록 일반화되어 시스템 거동을 신뢰성 있게 예측할 수 없게 되는 리스크,"The risk that chaotic dynamics, inherently unpredictable and highly sensitive to initial conditions, arise in multi-agent learning setups and become the norm as the number of agents increases, making system behaviour unreliable to predict.",,,EM,0.7370229959487915,0.04743900150060654,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0044,Agentic,RAI4-0561,RAI4-0561,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_003,탐지 불가 공격에 의한 다중에이전트 협력 붕괴,Collapse of multi-agent cooperation from undetectable attacks,"에이전트가 스테가노그래피 통신, 블랙박스· 화이트박스 탐지 불가 환영 공격과 암호화 백 도어, 타 에이전트 훈련 데이터의 은밀한 오염 을 수행하여 적대 행위 탐지가 불가능해지고 다중에이전트 시스템의 협력과 조정이 급속 히 불안정해지는 리스크.","The risk that agents employ steganographic communication, black-box and white-box undetectable illusory attacks with encrypted backdoors, and covert poisoning of others' training data, making adversarial actions undetectable and rapidly destabilising cooperation and coordination in multi-agent systems.",,,EM,0.7204570174217224,0.028974000364542007,0.8,A_INT_CASCADE,A_INT_COLLUSION,,SRC-A-0067,Agentic,RAI4-1580,RAI4-1580,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_004,에이전트 상호작용의 불안정화 피드백 루프,Destabilizing feedback loops among interacting agents,"에이전트의 행동이 환경과 다른 에이전트에 영향을 주고 다시 자신의 입력으로 되돌아오는 적응형 에이전트 간 피드백 루프가 시스템 수준의 거동을 증폭하여, 금융 급락형 연쇄, 군사 충돌, 생태 재난과 같은 불안정화 결과를 초래하는 리스크.","The risk that feedback loops among adaptive agents, in which actions affect the environment and other agents and return as the agents' own inputs, amplify system-level behavior into destabilizing outcomes such as flash-crash-like cascades, financial crashes, military conflicts, or ecological disasters.",,,EM,0.8321859836578369,0.12711100280284882,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0047,Agentic,RAI4-0579,RAI4-0579,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_005,다중 에이전트 시스템 실패와 연쇄 오류 전파,Multi-agent system failure and cascading error propagation,"잘못된 명세나 역할 배정, 에이전트 간 조정· 통신 붕괴, 검증·종료 처리 미흡 또는 개별 에 이전트의 오류·손상이 통신, 위임 체인, 공유 메모리, 도구 등 의존성을 통해 전파·증폭되어 시스템 전반의 실패, 운영 중단, 보안 침해, 물리적 피해로 이어지는 리스크.","The risk that flawed specifications or role allocation, breakdowns in inter-agent coordination and communication, inadequate verification or termination handling, or a localized error or compromise propagates through dependencies among agents, tools, delegation chains, and shared memory, amplifying into system-wide failure, operational disruption, security compromise, or physical harm.",,,EM,0.8530269861221313,0.07221899926662445,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0057,Agentic,RAI4-0009,RAI4-0009,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_006,분산 에이전트 군집을 이용한 자원 고갈 공격,Resource-exhaustion attacks by decentralized agent swarms,"다수의 저자원 분산 에이전트가 결합하여 행동함으로써, 단일 행위자를 전제로 설계된 시스템의 대역폭·요청량 제약 가정이 무너지고, 그 결과 분산 서비스 거부(DDoS)와 유사한 방식으로 대상 시스템이 마비되는 리스크","The risk that a large number of low-resource, decentralized agents act in combination, breaking the single-actor assumptions underlying a target system's bandwidth or request-rate constraints, and thereby causing system-wide paralysis similar to a distributed denial-of-service attack",,,EM,0.7109330296516418,0.03814300149679184,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0066,Agentic,RAI4-1577,RAI4-1577,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_007,AI 공급망의 도구·의존성 손상,Supply-chain compromise of AI tools and dependencies,손상된 외부 도구·플러그인·API·패키지·커넥터나 개발 툴체인의 의존성 등 소프트웨어 공급망 요소가 AI 시스템에 변조된 구성요소나 취약점을 유입시켜 에이전트의 행동 공간을 조작하거나 정보를 유출하 는 리스크.,"The risk that compromised software supply-chain elements, including external tools, plug-ins, APIs, packages, connectors, and development toolchain dependencies, introduce tampered components or vulnerabilities into an AI system, manipulating an agent's action space or exfiltrating information.",,,EM,0.7197849750518799,0.023615000769495964,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0005,Agentic,RAI4-0014,RAI4-0014,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_CASCADE,연쇄 실패·불안정,Cascading Failure and Instability,"상호작용하는 에이전트들이 서로의 출력을 재사용하고 피드백 루프를 형성하면서, 하나의 오류·편향·교란이 네트워크 전체로 전파·증폭되어 무한 루프·연쇄 지연·통제 불능 등 시스템적 불안정을 초래하는 리스크.","The risk that, as interacting agents reuse one another's outputs and form feedback loops, a single error, bias, or disturbance propagates and amplifies across the network, producing systemic instability such as infinite loops, cascading delays, or runaway behavior.",A_INT_CASCADE_008,원격 조작 지연 및 불안정성,Teleoperation latency and instability,원격 조작 링크의 높거나 변동하는 지연이 폐 루프 제어를 불안정하게 하거나 인간 개입을 지연하는 위험.,High or variable latency on a teleoperation link destabilizes control or delays human intervention.,,,EM,0.723039984703064,0.07626699656248093,1.0,A_INT_CASCADE,A_INT_CASCADE,,SRC-A-0043,Agentic,RAI4-0294,RAI4-0294,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",A_INT_COLLUSION_001,은닉 통신 채널을 통한 에이전트 간 결탁,Covert collusion between agents through hidden communication channels,"에이전트들이 겉보기에 무해한 텍스트나 압 축된 텍스트, 인간이 해석할 수 없는 창발적 기호에 메시지를 은닉하여 스테가노그래피 통신 채널을 구축하고 통신 감시와 제약을 우 회하는 리스크. 인간 감독을 벗어난 조율이 이 루어져 친사회적 경쟁이 저해되고 연합 밖 당 사자에게 부정적 외부효과가 발생하지만 결 탁의 탐지는 사실상 불가능해진다.","The risk that agents conceal messages within innocuous text, compressed text, or emergent symbols humans cannot interpret, establishing steganographic channels that evade monitoring and the constraints placed on their communication. Coordination proceeds beyond human oversight, undermining pro-social competition and imposing negative externalities on those outside the coalition while detection remains infeasible.",,,EM,0.8176169991493225,0.08590500056743622,1.0,A_INT_COLLUSION,A_INT_COLLUSION,,SRC-A-0065,Agentic,RAI4-1570,RAI4-1570,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
L0_RAI,책임 있는 인공지능,Responsible AI,L1_A,에이전틱 AI,Agentic AI,"도구를 사용하고, 여러 단계에 걸쳐 목표를 추구하며, 위임된 의사결정을 수행하고, 상태를 유지하거나 다른 에이전트와 협력하는 AI 시스템.","Systems that use tools, pursue goals over multiple steps, make delegated decisions, maintain state, or coordinate with other agents.",A_INT,상호작용,Interaction,"AI 시스템이 사람, 다른 시스템, 조직 또는 환경과 소통하고 결정하거나 행동하는 과정에서 발생하는 리스크.","Risks arising when an AI system communicates, decides, acts, or interacts with people, other systems, organisations, or the environment.",A_INT_COLLUSION,담합·결탁,Collusion,독립적으로 행동해야 할 에이전트들이 비밀리에 협력·정보 공유·행동 조율하여 인간의 감독·통제를 우회하거나 제3자에게 불공정한 피해를 초래하는 리스크.,"The risk that agents expected to operate independently secretly coordinate, share information, or align behavior in ways that circumvent human oversight and control or unfairly harm third parties.",A_INT_COLLUSION_002,다중 에이전트 은밀 공모,Covert multi-agent collusion,"복수 에이전트가 공동 이익을 극대화하기 위 해 은밀한 수단과 감시 회피용 전용 통신 규약 으로 행동을 조율하여 제3자 이익을 침해하고 규제를 회피하며, 개별 안전 제약에도 불구하고 시장 조작이나 연쇄 실패처럼 탐지와 완화가 어려운 시스템적 위험을 유발하는 리스크","The risk that multiple agents coordinate actions through covert means, including specialized communication protocols to avoid monitoring, to maximize common interests while harming third-party interests and evading regulation, triggering systemic risks such as market manipulation or cascading failures that are difficult to detect and mitigate despite individual safety constraints.",,,EM,0.8323959708213806,0.06773699820041656,1.0,A_INT_COLLUSION,A_INT_COLLUSION,,SRC-A-0062,Agentic,RAI4-0605,RAI4-0605,,SOURCE_DOMAIN,RETAIN,"No explicit delete, merge, or split instruction"
